strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-ċ-ċ¹		baċċaċ		tbaċċaċ					
b-ċ-ċ²		biċċeċ		tbiċċeċ					
b-ċ-n		baċċan,		tbaċċan,					
		beċċen		tbeċċen					
b-ċ-r		biċċer		tbiċċer					
b-d-d		bidded		tbidded					
b-d-l	bidel	biddel,		tbiddel		nbidel			
		beddel							
b-ġ-l		biġġel,		tbiġġel		nbiġel			
		beġġel							
b-għ-d¹	bagħad	*bagħgħad	bagħad		tbiegħad,	nbagħad			
					tbiegħed				
b-għ-d²			biegħed		tbiegħed				
b-għ-l		bagħgħal		tbagħgħal	tbagħal				
b-għ-t	bagħat					nbagħat,			
						ntbagħat			
b-h-m			biehem	tbhejjem	tbiehem				
b-ħ-ħ				tbaħħaħ					
b-ħ-n	*beħħen								
b-ħ-r¹		baħħar		tbaħħar					
b-ħ-r²		baħħar		tbaħħar					
b-ħ-t	baħat		bieħet	*tbaħħat					
b-k-m	bikem	bikkem		tbikkem					
b-k-r	bakar	bakkar		*tbakkar					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-k-t	*beket	bekket		tbekket					
b-l-għ	bala',	balla',		tballa',		nbela',			
	bela'	bella'		tbella'		nbala'			
b-l-h		bellah,		tbellah,				blieh	
		belleh,		tbelleh					
b-l-l	bell	bellel		tbell		ntbell,			
						btell			
b-l-q	boloq	bellaq		*tbellaq				blieq	
b-l-s¹		belles		tbelles					
b-l-s²		ballas							
b-l-t¹		ballat		tballat					
b-l-t²		bellet		tbellet					
b-n-n¹		bennen		tbennen					
b-n-n²		bennen		tbennen					
b-n-s		bannas							
b-n-t		bannan,		*tbannat					
		bannat							
b-q-għ	baqa'	baqqa'							
b-q-n		baqqan		tbaqqan					
b-q-q¹		baqqaq		tbaqqaq					
b-q-q²		baqqa		*tbaqqaq					
b-q-r		baqqar							
b-q-t	baqat	baqqat		tbaqqat					
b-r-d¹	barad	barrad				nbarad			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-r-d²	bired	berred		tberred					
b-r-ġ		barraġ		tbarraġ		nbaraġ			
b-r-ħ	beraħ	berraħ		tberraħ		nberaħ			
b-r-k¹	birek	berrek		tberrek					
b-r-k²			bierek		tbierek				
br-k-n				tbrekken					
b-r-m	baram	barram		tbarram		nbaram	btaram		
b-r-n		berren		tberren					
b-r-q		berraq		tberraq					
b-r-r	barr								
b-r-x¹	barax	barrax		*tbarrax		nbarax			
b-r-x²		berrex							
b-s-l		bassal							
b-s-m		*bissem		tbissem					
b-s-r	basar	bassar		tbassar		nbasar,			
						ntbasar			
b-s-s	bass	bassas		tbassas		ntbass			
b-t-ħ		bettaħ		tbettaħ					
b-t-l	batal	battal		tbattal					
b-t-m		battam		tbattam					
b-t-n	batan	battan				*nbatan			
b-t-r	batar					nbatar			
b-x-q		bexxaq		tbexxaq					
b-x-r	baxar	baxxar		tbaxxar					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-x-x	bexx	bexxex		tbexxex		nbexx,			
						ntbexx			
b-ż-għ	baża',	bażża',		tbażża',					
	beża'	beżża'		tbeżża'					
b-ż-l¹	biżel	biżżel		tbiżżel					
b-ż-l²		beżżel		tbeżżel					
b-ż-q	beżaq	beżżaq		tbeżżaq		nbeżaq,			
						ntbeżaq			
b-ż-r		bażżar		*tbażżar					
b-z-n		bezzen		tbezzen					
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-d-j	beda					nbeda			
b-d-w/j	bieda								
b-j-d¹		bajjad		tbajjad				bjad	
b-j-d²	bad,					nbad,			
	bied					nbied			
b-j-għ	biegħ					nbiegħ			
b-j-n		bejjen		tbejjen					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
b-j-t	biet	bejjet		tbejjet,					
				ibbejjet					
b-k-j	beka	bekka		tbekka		nbeka,			
						ntbeka			
b-n-j	bena					nbena			
b-r-j¹		barra		tbarra					
b-r-j²	bera								
b-t-j¹			bata		tbata				
b-t-j²		batta		tbatta					
b-w-b		bewweb							
b-w-ġ		bewweġ,							
		bawwax,							
		bewwex							
b-w-għ	*bawa'			tbawwa'					
b-w-ħ		bewwaħ		tbewwagħ					
b-w-j	buwa								
b-w-l	biel	bewwel		*tbewwel					
b-w-q		bewwaq		tbewwaq					
b-w-r		bawwar		tbawwar					
b-w-s	bies	bewwes		tbewwes		nbies,			
						ntbies			
b-w-t		bewwet							
b-x-j		baxxa		tbaxxa					
