strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
d-b-b				ddebbeb					
d-b-ħ	debaħ	*debbaħ							
d-b-l		debbel		ddebbel				dbiel	
d-b-n		debben		ddebben					
d-b-r¹		dabbar		ddabbar					
d-b-r²	deber	debber		ddebber					
d-f-n¹	difen	*deffen				ndifen			
d-f-n²		deffen		ddeffen					
d-f-r	dafar	*daffar				ndafar			
d-f-s		deffes		ddeffes					
d-għ-m	dagħam		diegħem					dgħam	
d-h-b		*dehheb	dieheb		ddieheb				
d-h-n¹	dehen	*dehhen				ndehen			
d-h-n²			diehen		ddiehen				
d-h-r	deher		dieher						
d-h-s	dehes	dehhes				ndiehes,			
						ndehes,			
						ndess			
d-h-x	dehex		diehex		ddiehex	ndiehex			
d-ħ-k / d-ħ-q	daħak,	daħħak,			ddieħak,	ndaħak,			
	daħaq	daħħaq			ddieħek,	ndaħaq			
					ddieħaq				
d-ħ-l	daħal	daħħal		ddaħħal		ndaħal			
d-ħ-n	*daħan	daħħan		ddaħħan					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
d-ħ-s	*deħes								
d-k-k		dekkek		ddekkek					
d-k-r		dakkar		ddakkar					
d-l-k	dilek	dellek		ddellek		ndilek			
d-l-l	dell	dellel		ddellel		ndell			
d-l-m	dalam	dallam		ddallam				*dlam	
d-m-għ		damma',		ddemma'					
		demma'							
d-m-l		demmel,		ddemmel					
		demmen							
d-m-m¹		demmem		ddemmem					
d-m-m²	damm	dammam,		ddammem		ndamm			
		dammem							
d-m-s		demmes		ddemmes					
d-n-b¹		denneb		ddenneb	*ddieneb				
d-n-b²	dineb								
d-n-n	dann			danna,					
				ddanna					
d-n-s		dennes		ddennes					
d-q-q	daqq	daqqaq		ddaqqaq		ndaqq			
d-q-s		daqqas		ddaqqas					
d-r-b	darab	darrab		ddarrab		ndarab			
d-r-k	direk		dierek						
d-r-r	darr	darrar				ndarr			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
d-r-s¹		darras 		ddarras					
d-r-s²	dires	*derres				ndires			
d-t-r				ddetter					
d-x-x		dexxex		ddexxex					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
d-għ-w	dagħa				ddiegħa				
d-h-j	deha								
d-j-f¹		dgħajjef		ddgħajjef				dgħief,	
								dgħaf	
d-j-f²			diefa					dief	
d-j-n		dejjen		ddejjen					
d-j-q		dejjaq		ddejjaq				djieq	
d-j-r	dar	dajjar							
d-k-j			daka						
d-n-j		denna		ddenna					
d-r-j¹	dara	darra		ddarra		ndara			
d-r-j²		derra		dderra					
d-r-j³	dira 								
d-w-b	dab,	dewweb		ddewweb					
	dieb								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
d-w-d		dewwed		ddewwed					
d-w-ħ		*dewwaħ							
d-w-j¹	dewa					ndewa			
d-w-j²		dewwa		ddewwa					
d-w-l		dawwal		ddawwal				dwal	
d-w-m	dam,	dawwem,		ddewwem					
	diem	dewwem,							
		dejjem							
d-w-q	daq,	dewwaq		ddewwaq		ndaq			
	dieq								
d-w-r	dar	dawwar,		ddawwar,		ndar			
		dewwer		ddewwer					
d-w-r		dewwer		ddewwer					
d-x-j		*dixxa		ddixxa					
