strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
f-d-d		fidded		tfidded					
f-d-l¹	fadal	faddal 		tfaddal 					
f-d-l²		feddel		tfeddel					
f-ġ-ġ¹	feġġ								
f-ġ-ġ²		faġġaġ							
f-ġ-l	fiġel								
f-ġ-r	faġar,	*faġġar				nfaġar,			
	faraġ					nfaraġ			
f-għ-l	*fagħal								
f-h-m	fehem	*fehhem	fiehem		ftiehem	nfehem,	ftehem,		
						nftehem,	ftiehem		
						nftiehem			
f-ħ-l	*faħal	faħħal		tfaħħal					
f-ħ-m		faħħam		tfaħħam					
f-ħ-r	faħar	faħħar		tfaħħar			ftaħar		
f-ħ-x		faħħax 		tfaħħax					
f-k-k	*fekk	fekkek		tfekkek					
f-k-r	*fakar 	fakkar		tfakkar			ftakar		
f-l-ġ	fileġ					nfileġ			
f-l-ħ	felaħ					nfelaħ			
f-l-k		fellek		tfellek					
f-l-l		fellel		tfellel					
f-l-q		fellaq							
f-l-s¹		felles		tfelles					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
f-l-s²	files	felles							
f-l-s³		felles							
f-l-z		fallaz						flaz	
f-n-d		fannad		tfannad				fnad	
f-q-d	faqad	*faqqad					ftaqad		
f-q-għ	faqa' 	faqqa'		tfaqqa'		nfaqa' 			
f-q-m		faqqam		tfaqqam			ftaqam		
f-q-r	*faqar	faqqar		tfaqqar			ftaqar	fqar	
f-q-s	faqas 	faqqas		tfaqqas		nfaqas			
f-r-d	fired	farrad 		tfarrad		nfired			
f-r-ġ	*faraġ	farraġ		tfarraġ 					
f-r-għ¹	forogħ	ferragħ		tferragħ				friegħ	
f-r-għ²		ferragħ		tferragħ					
f-r-ħ¹	feraħ	ferraħ		*tferraħ		nferaħ			
f-r-ħ²		ferraħ		tferraħ		nferaħ			
f-r-k¹	*farak 	farrak 		tfarrak					
f-r-k²	forok								
f-r-q	feraq 	ferraq	fieraq	tferraq	tfieraq	nferaq	fteraq		
f-r-x	firex	ferrex		tferrex		nfirex			
f-s-d¹	fasad	*fassad				nfasad			
f-s-d²	fised	fissed		tfissed					
f-s-l		fassal		tfassal					
f-s-q¹	fesaq					nfesaq			
f-s-q²		fessaq		tfessaq					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
f-s-r		fisser		tfisser					
f-t-ħ	fetaħ	fettaħ		tfettaħ		nfetaħ			
f-t-l	fitel	fettel		tfettel		nfitel			
f-t-m	fatam	fattam				nfatam			
f-t-q	fetaq	fettaq		*tfettaq		nfetaq			
f-t-r	fatar	fattar 		tfattar					
f-t-t		fettet,		tfettet,					
		fittet		tfittet					
f-t-x		fittex		tfittex		ntfettex			
f-x-l	fixel					nfixel			
f-x-x						nfexx			
f-ż-r		fażżar		tfażżar					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
f-ċ-j				tfaċċa					
f-d-j¹	afda,					nfada			
	fada								
f-d-j²	feda 					nfeda			
f-g-j	faga					nfaga			
f-ħ-j	feħa								
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
f-j-d	fied	fajjad,						fjad	
		fawwad							
f-j-q	fieq	fejjaq		tfejjaq					
f-j-r		fajjar		tfajjar					
f-l-j¹	fela					nfela			
f-l-j²		falla							
f-n-j	fena					nfena			
f-r-j¹			fera						
f-r-j²			fiera		tfera				
f-s-w/j	fesa					nfesa			
f-t-j		fotta		tfotta					
f-w-ġ		fewweġ		tfewweġ					
f-w-ħ	fieħ	fewwaħ		tfewwaħ				fwieħ,	
								fjieħ	
f-w-q		fewwaq		tfewwaq					
f-w-r	far	fawwar		tfawwar					
f-w-t	fiet	*fejjet							
