strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
g-b-ġ / g-b-x		gebbeġ,							
		gebbex							
g-d-b	gideb	giddeb		tgiddeb	tgiedeb	ngideb			
g-d-l		geddel		tgeddel					
g-d-m¹	gidem	giddem		tgiddem	tgiedem	ngidem			
g-d-m²				tgeddem					
g-d-s / g-z-z		geddes,		tgeddes,					
		gezzez		tgezzez					
g-n-ċ		gannaċ							
g-r-f	giref	gerref			tgieref	ngiref			
g-r-m		gerrem		tgerrem					
g-r-r	garr					ngarr			
g-r-s		gerres		tgerres					
g-r-x¹		gerrex		tgerrex					
g-r-x²	girex					ngirex			
g-r-ż	gireż	gerreż							
g-s-s	gess								
g-ż-ż	geżż	geżżeż				ngeżż,			
		geżgeż				ngess			
g-z-z	gezz								
									
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
g-d-j			goda						
g-r-j			gara,		tgara				
			garr						
g-ż-j	gaża								
