strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
għ-b-d	għabad								
għ-b-r¹		għabbar		tgħabbar					
għ-b-r²		għabbar		tgħabbar					
għ-b-x		għabbex		tgħabbex					
għ-d-b¹	għadab	għaddab		tgħaddab					
għ-d-b²		għaddeb		tgħaddeb					
għ-d-d	għadd	għadded		tgħadded		ngħadd,			
						ntgħadd			
għ-d-l		għaddel		tgħaddel					
għ-d-m		għaddam		tgħaddam					
għ-d-r¹	għader					ngħader,			
						ntgħader			
għ-d-r²		għaddar		tgħaddar					stagħdar
għ-d-s	għodos	għaddas		tgħaddas					
għ-f-ġ	għafeġ	għaffeġ		tgħaffeġ					
għ-f-n¹	għafen								
għ-f-n²	għefen								
għ-f-s	għafas	għaffas		tgħaffas		ngħafas,			
						ntgħafas			
għ-ġ-b¹	għoġob					ngħoġob,			
						ntgħoġob			
għ-ġ-b²		għaġġeb		tgħaġġeb					stagħġeb
għ-ġ-l		għaġġel		tgħaġġel					
għ-ġ-m	għaġem								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
għ-ġ-n	għaġen	*għaġġen				ngħaġen,			
						ntgħaġen			
għ-ġ-ż	għaġeż			tgħaġġeż					
għ-k-k		għakkek		tgħakkek					
għ-k-m	għakem								
għ-k-r¹		għakkar		tgħakkar					
għ-k-r²	għokor								
għ-k-s	għokos	għakkes		tgħakkes		ngħakes			
għ-l-b¹	għolob	għalleb		tgħalleb					
għ-l-b²	għeleb	għalleb				ngħeleb,			
						ntgħeleb			
għ-l-f	għalef	*għallef				ngħalef,			
						ntgħalef			
għ-l-k		għallek		tgħallek					
għ-l-l¹		għallel		tgħallel					stgħall
għ-l-l²	*għall	għallel		tgħallel		ngħall			
għ-l-m¹		għallem,		tgħallem,		ntgħallem			
		għellem		tgħellem					
għ-l-m²	għelem								
għ-l-q¹	għalaq	*għallaq				ngħalaq			
						ntgħalaq			
għ-l-q²		għallaq		tgħallaq					
għ-l-t	għalat	għallat		tgħallat					
għ-m-b	għamba								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
għ-m-d¹		għammad		tgħammad					
għ-m-d²		għammed		tgħammed					
għ-m-l	għamel	*għammel				ngħamel,			
						ntgħamel			
għ-m-m		għammem		tgħammem					
għ-m-q		għammeq		tgħammeq					
għ-m-r¹	għamar	għammar		tgħammar		ngħamar			
għ-m-r²		għammar		tgħammar					
għ-m-s	għames	għammes		tgħammes		ngħames			
għ-m-x		għammex		tgħammex					
għ-m-ż	għemeż	għammeż		tgħammeż	tgħiemeż	ngħameż			
għ-n-b		għanneb							
għ-n-q		għannaq		tgħannaq					
