strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
h-d-b		heddeb		theddeb					
h-d-d		hedded		thedded					
h-d-m		heddem		theddem					
h-l-l		hellel		thellel					
h-m-m		hemmem		themmem					
h-m-r						nhamar			
h-m-ż	hemeż	hemmeż		themmeż		nhemeż			
h-r-ż	hereż	herreż		therreż		nhereż			
h-ż-ż		heżżeż,		theżżeż,					
		heżheż		theżheż					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
h-d-w	heda	hedda		thedda					
h-n-j		henna		thenna					
h-r-j		herra		therra					
h-w-j									sthewwa
h-ż-j		heżża							
