strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
k-b-b	kebb	kebbeb		tkebbeb					
k-b-r	kiber	kabbar		tkabbar					
k-b-s	kibes	kebbes		tkebbes					
k-b-x		kebbex		tkebbex					
k-b-z		kabbaz		tkabbaz					
k-ċ-ċ		kaċċaċ							
k-d-d	kedd	kedded		tkedded		nkedd			
k-f-f	keff	keffef		tkeffef		nkeff			
k-f-n		keffen		tkeffen					
k-f-r	kafar	*kaffar		tkeffer					
k-f-s	kifes					nkifes			
k-għ-b	kagħab								
k-għ-k				tkagħak,					
				tkagħkagħ					
k-ħ-l		kaħħal		tkaħħal				kħal	
k-l-b	kileb					nkileb			
k-l-l	*kelel	kellel		tkellel					
k-l-m		kellem		tkellem					
k-m-d		kemmed		tkemmed					
k-m-m		*kemmem							
k-m-x		kemmex		tkemmex					
k-n-k		kannak							
k-n-n	kenn	kennen,		tkennen					stkenn
		gennen							
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
k-n-s¹	kines	*kennes				nkines			
k-n-s²		*kennes							
k-n-z		kannaz							
k-r-b	karab,	karrab		tkarrab		nkarab			
	korob								
k-r-h		kerrah,		tkerrah,				krieh	stkerrah,
		kerreh		tkerreh					stkerreh
k-r-m	korom,	*karrem		*tkarrem		nkaram			
	karam								
k-r-r	*kerr								stkerr
k-r-t		karrat							
k-s-b	kiseb	kisseb		tkisseb		nkiseb			
k-s-ħ	kesaħ	kessaħ		tkessaħ					
k-s-r	kiser 	kisser		tkisser		nkiser			
k-s-s	kess								
k-t-b	kiteb	*kitteb			tkieteb	nkiteb			
k-t-f		kittef		tkittef					
k-t-n		kitten		tkitten					
k-t-r	kotor,	kattar		tkattar					
	katar								
k-x-f	kixef	kixxef		tkixxef		nkixef			
k-x-n		*kexxen							
k-x-x		kaxxax							
k-z-z		kazzaz		tkazzaz					
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
k-ċ-j		keċċa		tkeċċa					
k-j-b	kieb			tkejjeb					
k-j-d		kejjed							
k-j-f¹	kief	kejjef		tkejjef					
k-j-f²		*kejjef		tkejjef					
k-j-l¹		kejjel		tkejjel					
k-j-l²	kiel	wikkel		*twikkel		ttiekel			
									
k-j-n		kejjen		tkejjen					
k-j-t		kejjet		tkejjet					
k-k-j		kakka		tkakka					
k-l-j			kala		tkala				
k-p-j			kapa						
k-r-j¹	kera					nkera			
k-r-j²		korra							
k-s-j	kesa					nkesa			
k-v-j			kava						
k-w-d	kad								
k-w-j	kewa				tkiewa	nkewa			
k-w-n	kien	kewwen		*tkewwen					
k-w-s		kewwes		tkewwes					
k-ż-j¹					tkaża				
k-ż-j²			kuża						
