strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
m-ċ-ċ		meċċeċ							
m-d-d	medd	*medded		tmedd,	tmedd,	ntmedd	mtedd		
				*tmedded	*tmedded				
m-għ-d	magħad	*magħgħad	miegħed		tmiegħed	ntmagħad	mtagħad		
m-għ-k	*megħek,		miegħek		tmiegħek				
	magħak								
m-għ-r	megħer		miegħer		tmiegħer				
m-għ-x			miegħex		tmiegħex				
m-għ-ż			miegħeż		tmiegħeż				
m-h-l			miehel		tmiehel				
m-ħ-ħ		maħħaħ							
m-ħ-r		meħħer							
m-ħ-t	maħat	maħħat		tmaħħat		ntmaħat			
m-k-ħ		mekkaħ		tmekkaħ					
m-k-k		mekkek		tmekkek					
m-l-ħ¹		mellaħ		tmellaħ				mlieħ	
m-l-ħ²	moloħ								
m-l-l	mell			tmell					stmell,
									stmerr
m-l-q		mellaq							
m-l-s	miles	melles		tmelles				mlies	
m-l-t		mallat		tmallat					
m-n-għ	mana'					ntmana'			
m-n-s		mannas		tmannas					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
m-q-t		maqqat		tmaqqat				mqat	
m-r-d¹	marad	marrad		tmarrad					
m-r-d²				tmarrad					
m-r-ħ¹	meraħ				tmieraħ				
m-r-ħ²		merraħ							
m-r-k		merrek,		tmerrek					
		merkek							
m-r-q		merraq		tmerraq					
m-r-r		marrar		tmarrar				mrar	
m-r-x	mirex								
m-s-ħ	mesaħ	messaħ		tmessaħ		ntmesaħ			
m-s-s	mess	messes,		tmess,		ntmess	mtess		
		mesmes		tmesses,					
				tmesmes					
m-t-l	matal	mattal	matal,		tmâtal			mtal	
			motal						
m-t-r¹		mattar		tmattar	tmatar				
m-t-r²		mattar							
m-x-t	maxat	maxxat		tmaxxat		ntmaxat	mtaxat		
m-ż-ġ	mażaġ								
m-ż-ż		miżżeż		tmiżżeż					
m-z-z		mazzaz		tmazzaz					
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
		maħħa		tmaħħa					
	miel	mejjel		tmejjel					
	mela	*mella					mtela		
			miera		tmiera				
		mewweġ		tmewweġ					
	mar	mawwar		tmawwar					
		mewwes		tmewwes					
	miet	mewwet		tmewwet					
	mexa	mexxa		tmexxa		ntmexx,			
						ntmexxa			
