strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
n-b-ħ¹		nebbaħ,		tnebbaħ,		ntebaħ,	ntebaħ,		stenbaħ,
		nebbeh		tnebbeh		ntnebeh	ntebeh		stenbeh
n-b-ħ²	nebaħ	nebbaħ							
n-b-r	*nabar	nabbar		tnabbar					
n-b-t	nibet	nebbet,		tnebbet					
		nibbet							
n-b-x	nibex	nibbex		tnibbex		ntnibex			
n-d-f		naddaf		tnaddaf				ndaf	
n-d-m	nidem	niddem		tniddem					
n-d-r¹		naddar		tnaddar					
n-d-r²	nadar						ntadar		
n-d-r³	nider								
n-f-d¹	nafad,	naffad,		tnaffad,					
	nafat	naffat		tnaffat					
n-f-d²	nifed	niffed		tniffed		ntnifed			
n-f-ħ	nefaħ,	neffaħ		tneffaħ		ntnefaħ	ntefaħ		
	nafaħ								
n-f-q	nefaq	neffaq		tneffaq		ntnefaq	ntefaq		
n-f-r	nafar	naffar		tnaffar					
n-f-s		niffes		tniffes					
n-f-x	nifex	niffex		tniffex			ntifex		
n-ġ-m		niġġem 		tniġġem					
n-ġ-r	naġar	naġġar		*tnaġġar		ntnaġar	ntaġar		
n-ġ-s		niġġes		tniġġes					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
n-ġ-ż		niggeż		tniggeż					
n-għ-ġ			niegħeġ		tniegħeġ				
n-għ-l	nagħal	*nagħgħal	niegħel		tniegħel				
n-għ-m			niegħem						
n-għ-s	nagħas		niegħes		tniegħes				
n-h-d	*nahad,		niehed		tniehed				
	*nehed								
n-h-r	nahar								
n-ħ-l		naħħal							
n-ħ-q	naħaq	*naħħaq							
n-ħ-r¹	naħar	*naħħar							
n-ħ-r²	naħar	naħħar					ntaħar		
n-ħ-s					tnieħes				
n-k-b	nikeb	*nikkeb		tnikkeb					
n-k-ħ	nekaħ								
n-k-r		nikker		tnikker					
n-k-t¹		nikket		tnikket					
n-k-t²		nikket		tnikket					
n-l-ħ		nellaħ		tnellaħ					
n-m-l		nemmel		tnemmel					
n-m-r		nammar 							
n-m-s		nemmes		tnemmes					
n-m-x		nemmex		tnemmex					
n-q-b	naqab	naqqab		tnaqqab		ntnaqab			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
n-q-għ	naqa'								
n-q-l	naqal								
n-q-r	naqar	naqqar		tnaqqar					
n-q-s	naqas	naqqas		tnaqqas				nqâs	
n-q-x	naqax	naqqax		tnaqqax		ntnaqax	ntaqax		
n-s-b	nasab	nassab		tnassab		ntnasab	ntasab		
n-s-ġ	niseġ	nisseġ		tnisseġ			ntiseġ		
n-s-l		nissel		tnissel					
n-s-r	nasar	nassar		tnassar					
n-s-s		nassas		tnassas					
n-t-f	nitef	nittef		tnittef		ntnitef			
n-t-ħ	nataħ,								
	nadaħ,								
	netaħ								
n-t-n	niten	nitten		tnitten					
n-t-q	nataq								
n-x-f	nixef	nixxef		tnixxef					
n-x-r	naxar	*naxxar				ntnaxar	ntaxar		
n-ż-għ	naża',	nażża',		tnażża',		ntnaża'	ntaża'		
	neża	neżża'		tneżża'					
n-ż-l	niżel	niżżel		tniżżel					
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
n-b-j		nabba							
n-d-j¹		nidda		tnidda					
n-d-j²		*nedda	nieda		tnieda				
n-f-j	nafa,	naffa		tnaffa					
	nefa								
n-għ-j			nagħa,		tniegħa				
			negħa,						
			niegħa						
n-ħ-j		neħħa,		tneħħa					
		naħħa							
n-j-b		nejjeb							
n-j-ħ	nieħ								
n-j-k	niek	nejjek,		tnejjek					
		nejjes							
n-j-n	nan,	*newwen							
	nien								
n-j-q	*naq			tnejjeq					
n-j-r		najjar		tnajjar					
n-j-s		nejjes							
n-k-j	neka			tnikka,					
				tnekka					
n-n-j		ninna							
n-q-j	naqa	naqqa		tnaqqa					
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
n-s-j	nesa	nessa,		tnessa,		ntnesa,	ntesa		
		nissa		tnissa		tnesa			
n-w-b		newweb		tnewweb					
n-w-ħ	naħ,	newwaħ							
	nieħ								
n-w-l¹		newwel							
n-w-l²		newwel		tnewwel					
n-w-m	nam	newwem,		tnewwem					
		nawwam,							
		nejjem,							
		namnam							
n-w-n		nawwan							
n-w-r		nawwar		tnawwar					
n-w-x		newwex							
n-x-j		nixxa		tnixxa					
n-ż-j / n-ż-għ	naża,								
	naża'								
