strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
p-l-m		pallam							
p-n-t¹		pennet							
p-n-t²		pannat							
p-r-ċ		perreċ,		tperreċ					
		perreġ							
p-t-r		pitter		tpitter					
p-x-x		pexxex,							
		pexpex							
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
p-ċ-j			paċa		tpaċa				
p-ġ-j		poġġa		tpoġġa					
p-j-p		pejjep		tpejjep					
p-j-z		pejjez,							
		pezpez							
p-p-j		pappa							
p-s-j		passa							
p-t-j		patta		tpatta					
p-x-j¹		paxxa		tpaxxa					
p-x-j²		pixxa							
