strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-b-d	qabad	qabbad		tqabbad	tqabad	nqabad			
q-b-l	qabel	qabbel		tqabbel	tqabel				
q-b-r		*qabbar							
qb-s		qabbas							
q-b-x	*qebbex			tqebbex					
q-b-ż	qabeż	qabbeż		tqabbeż	tqabeż	nqabeż			
q-ċ-t		qaċċat		tqaċċat					
q-d-b		qaddeb,		tqaddeb					
		qaddab							
q-d-d		qadded		tqadded					
q-d-f	qadef	qaddef				nqadef			
q-d-ħ	qadaħ								
q-d-m¹		qaddem		tqaddem				qdiem	
q-d-m²		qaddam,		tqaddam					
		qaddem							
q-d-m³		qaddam							
q-d-r	qadar								
q-d-s		qaddes		tqaddes					
q-f-l	qafel	qaffel				nqafel			
q-f-s		qaffas							
q-għ-d	qagħad	*qagħgħad	qiegħed		tqiegħed				
q-ħ-b	qoħob	qaħħab		tqaħħab					
q-ħ-t		qaħħat		tqaħħat					
q-l-b	qaleb	qalleb		tqalleb		nqaleb			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-l-għ	qala'	qalla'		tqalla'		nqala'			
q-l-l¹	qall,	qallel,		tqellel				qliel	
	qell	qellel							
q-l-l²		qallel							
q-l-q	qileq,								
	qeleq,								
	qoloq								
q-l-t		qallat		*tqallat					
q-m-l		qammel		tqammel					
q-m-r		qammar		tqammar					
q-m-s	qamas,	qammas,		tqammas,	tqamas,				
	qomos,	qammes		tqammes	tqames				
	qames								
q-m-t		qammat		tqammat					
q-n-għ		qanna'		tqanna'					
q-r-b	qorob,	qarreb,		tqarreb,	tqareb			qrab	
	qarab	qarrab		tqarrab					
q-r-d¹	qarad,	qarrad		tqarrad		nqarad,			
	qorod					nqorod			
q-r-d²	qered,	qerred				nqered			
	qired								
q-r-f		qarraf		tqarraf					
q-r-għ	qara'	qarra'		tqarra'				qriegħ	
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-r-ħ	qaraħ,	qarraħ		tqarraħ		nqaraħ			
	qeraħ								
q-r-m		qarram,		tqarram,					
		qarrem		tqarrem					
q-r-n		qarran		tqarran					
q-r-q¹		qarraq		tqarraq					
q-r-q²	qireq,								
	qereq								
q-r-r¹	qarr	qarqar							
q-r-r²	qarr	qarrer	qarar		tqarar				stqarr
q-r-r³	qerr								
q-r-s¹	qaras					nqaras			
q-r-s²		qarras		tqarras				qras	
q-s-b¹		qassab		tqassab					
q-s-b²		qassab							
q-s-m	qasam	qassam		tqassam		nqasam			
q-s-r		qassar		tqassar				qsar	
q-s-s¹	qass	qassas,		tqassas,		ntqass			
		qasqas		tqasqas,					
				tqasses					
q-s-s²		qasses		tqasses					
q-s-t		qassat		tqassat					
q-t-għ	qata'	qatta'	*qata'	tqatta'	tqata'	nqata'			
			*qietgħa						
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-t-l	qatel	qattel		tqattel	tqatel	nqatel			
q-t-n		qattan							
q-t-r	qatar,	qattar		tqattar					
	qotor								
q-t-t		qattet,		tqattet					
		qattat							
q-x-r		qaxxar		tqaxxar					
q-ż-ż¹	qażż								
q-ż-ż²		qażżeż		tqażżeż					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-b-j	qeba								
q-d-j	qeda					nqeda			
q-j-d		qajjed		tqajjed					
q-j-l	qal,	qajjel							
	qiel								
q-j-m	qiem	qejjem		tqejjem					
q-j-r		qajjar		tqajjar					
									
									
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
q-j-s						ntqies,			
	qies,	qejjes,		tqejjes,		tqies,			
	qas	qajjes		tqajjes		nqies,			
						nqas			
q-j-t	qiet								
q-l-j	qela	qalla		tqalla		nqela			
q-q-j			qaqa						
q-r-j	qara	qarra	qara	tqarra		nqara			
q-w-j / q-w-w		qawwa		tqawwa					
q-w-l	qal	qawwel			tqawel	nqal			
						ntqal			
q-w-m	qam	qajjem,		tqajjem,					
		qawwem		tqawwem					
q-w-r		qawwar		tqawwar					
q-w-s		qawwas,		tqawwas,					
		qawwes		tqawwes					
