quad										b
										
root	I	II		root	I	II		root	I	II
b-d-b-d	badbad	tbadbad		b-r-b-q	berbaq	tberbaq		b-ż-w-r	bażwar	tbażwar
b-għ-b-s	bagħbas	tbagħbas		b-r-b-r	barbar			b-ż-b-ż¹/b-s-b-s	bażbaż,	tbażbaż
b-għ-t-r	bagħtar	tbagħtar		b-r-b-x	berbex	tberbex			basbas	
b-h-r-d/b-h-r-ġ	bahrad,	tbahrad		b-r-f-l	berfel	tberfel		b-ż-b-ż²	beżbeż	tbeżbeż
	bahraġ			b-r-għ-d	bergħed,	tbergħed		b-ż-l-ħ	beżlaħ	
b-ħ-b-ħ¹	baħbaħ	tbaħbaħ			bergħet,			b-ż-l-k	beżlek	tbeżlak
b-ħ-b-ħ²	baħbaħ				bargħad,					
b-ħ-n-n	baħnan	tbaħnan			bergħat					
b-j-t-r		tbajtar		b-r-għ-n	bergħen	tbergħen				
b-k-b-k	bekbek,	tbekbek		b-r-k-l	berkel	tberkel				
	begbeg			b-r-m-ċ	bermeċ					
b-l-b-l¹	balbal			b-r-q-m	barqam					
b-l-b-l²	belbel	tbelbel		b-r-w-n	berwen					
b-l-ħ-n	bleħħen	tbleħħen		b-r-w-ż	barważ	tbarważ				
b-l-j-j	balja			b-s-k-t	baskat	tbaskat				
b-l-k-j	balka			b-s-t-j	basta					
b-m-b-j	bimba			b-t-b-t¹	betbet					
b-m-b-l	bambal			b-t-b-t²	batbat					
b-n-d-j	banda	tbanda		b-x-b-x	bexbex	tbexbex				
b-n-d-l	bandal	tbandal		b-x-l-k	bexlek					
b-n-ċ-l	benċel	tbenċel		b-x-k-l¹	bixkel,	tbixkel				
b-n-ġ-l	benġel	tbenġel			bexkel					
b-q-b-q	baqbaq	tbaqbaq		b-x-k-l²	bexkel					
b-r-d-l	berdel	tberdel		b-x-r-q	*baxraq	tbaxraq				
						ċ				d
										
root	I	II		root	I	II		root	I	II
ċ-f-ċ-f	ċafċaf	ċċafċaf		ċ-r-ċ-r¹	ċarċar,	ċċarċar		d-għ-d-għ / d-ħ-d-ħ	dagħdagħ,	ddagħdagħ,
ċ-f-ċ-q	ċefċaq	ċċefċaq			xarxar				daħdaħ	ddaħdaħ
ċ-f-l-q	ċeflaq	ċċeflaq		ċ-r-ċ-r²	ċerċer	ċċerċer		d-m-d-m	damdam	ddamdam
ċ-f-l-s	ċaflas	ċċaflas		ċ-r-k-k	ċerkek			d-n-d-l	dendel	ddendel
