strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
r-b-b		rabbab							
r-b-għ		rabba'							
r-b-ħ	rebaħ	rebbaħ		trebbaħ		ntrebaħ	rtebaħ		
r-b-k		rebbek							
r-b-t	rabat	rabbat		trabbat		ntrabat	rtabat		
r-ċ-p		reċċep							
r-d-d	radd	raddad		traddad		ntradd	rtadd		
r-d-għ	rada',	radda',		tradda',		ntrada',			
	reda'	redda'		tredda'		ntreda'			
r-d-m	radam					ntradam	rtadam		
r-d-n		redden,		tradden					
		radden							
r-d-q	redaq								
r-d-s		reddes							
r-f-d	rifed	riffed		triffed		ntrifed	rtifed		
r-f-għ	refa',					ntrefa',	rtefa',		
	rafa'					ntrafa'	rtafa'		
r-f-s	rifes	riffes		triffes		ntrifes	rtifes		
r-ġ-għ	reġa',	reġġa',		treġġa',					
	raġa'	raġġa'		traġġa'					
r-ġ-l¹		riġġel		triġġel					
r-ġ-l²				traġġel,					
				itraġġel					
r-ġ-n	rigen					ntrigen			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
r-għ-b	regħeb		riegħeb		triegħeb				
r-għ-d		*ragħgħad	riegħed		triegħed		rtiegħed, 		
							rtogħod		
r-għ-m	ragħem,		*riegħem						
	regħem,								
	ragħan								
r-għ-x	regħex,		riegħex		triegħex				
	ragħax								
r-h-b	rahab	rahhab		trabbah	trabah				
r-h-n	rahan	rahhan	râhan				rtahan		
r-ħ-l		raħħal		traħħal					
r-ħ-m¹		raħħam		traħħam					
r-ħ-m²		raħħam		traħħam					
r-ħ-s¹	roħos	raħħas		traħħas				rħas	
r-ħ-s²		raħħas		traħħas					
r-k-b	rikeb	rikkeb		trikkeb		ntrikeb	rtikeb		
r-k-n	riken	rekken,		trekken					
		rakkan							
r-k-s	rakas	rakkas							
r-k-t	rakat,	*rakkat				ntrakat,	rtakat		
	rakad					trakat			
r-m-l¹		rammel,		trammel,					
		rammal		trammal					
r-m-l²	romol	rammal							
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
r-q-d	raqad	raqqad		traqqad	trieqed		rtaqad		
r-q-għ		raqqa'		traqqa'					
r-q-m	raqam,						rtaqam,		
	roqom,						rtoqom,		
	riqem,						rteqem		
	reqem								
r-q-q	raqq,	raqqaq,		traqqaq				rqaq	
	reqq	reqqeq							
r-q-s	raqas	raqqas		traqqas					
r-s-q	resaq	ressaq		tressaq					
r-s-s	rass	rassas		trass,		ntrass	rtass		
				trassas					
r-s-t		rassat							
r-t-b		rattab		trattab				rtab	
r-t-ħ	retaħ	*rettaħ							
r-t-l		rattal							
r-x-q	rexaq	*rexxaq							
r-x-x	raxx	raxxax		traxxax		ntraxx			
r-ż-ħ	reżaħ	reżżaħ		treżżaħ	trieżaħ				
r-ż-n	rażan	rażżan		trażżan					
									
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
r-'-j	ra,	werra				ntara,			
	wera					ntwera,			
						nwera			
r-b-j		rabba		trabba					
r-ġ-j			rieġa		trieġa				
r-għ-j	ragħa				triegħa		rtagħa		
r-għ-w	ragħa,								
	rigħa								
r-ħ-j	reħa				trieħa	ntreħa	rteħa		
r-j-d	ried					ntried			
r-j-ħ	rieħ	rejjaħ		trejjaħ					
r-j-q	raq	rejjaq		trejjaq					
r-j-x	riex	rejjex		trejjex					
r-m-j¹	rama,					ntrama	rtama		
	rama'								
r-m-j²	rema					ntrema	rtema		
r-q-j	raqa,								
	riqa								
r-w-ħ¹	rieħ	rewwaħ		trewwaħ					
r-w-ħ²	raħ								
r-w-m	ram	rawwem,		trawwem					
		rawwam							
r-w-n	ran								
r-w-t		rawwat		trawwat					
