root	I	II
b-d-b-d	badbad	tbadbad
b-għ-b-s	bagħbas	tbagħbas
b-għ-t-r	bagħtar	tbagħtar
b-h-r-d/b-h-r-ġ	bahrad,	tbahrad
b-h-r-d/b-h-r-ġ	bahraġ	
b-ħ-b-ħ¹	baħbaħ	tbaħbaħ
b-ħ-b-ħ²	baħbaħ	
b-ħ-n-n	baħnan	tbaħnan
b-j-t-r		tbajtar
b-k-b-k	bekbek,	tbekbek
b-k-b-k	begbeg	
b-l-b-l¹	balbal	
b-l-b-l²	belbel	tbelbel
b-l-ħ-n	bleħħen	tbleħħen
b-l-j-j	balja	
b-l-k-j	balka	
b-m-b-j	bimba	
b-m-b-l	bambal	
b-n-d-j	banda	tbanda
b-n-d-l	bandal	tbandal
b-n-ċ-l	benċel	tbenċel
b-n-ġ-l	benġel	tbenġel
b-q-b-q	baqbaq	tbaqbaq
b-r-d-l	berdel	tberdel
b-r-b-q	berbaq	tberbaq
b-r-b-r	barbar	
b-r-b-x	berbex	tberbex
b-r-f-l	berfel	tberfel
b-r-għ-d	bergħed,	tbergħed
b-r-għ-d	bergħet,	
b-r-għ-d	bargħad,	
b-r-għ-d	bergħat	
b-r-għ-n	bergħen	tbergħen
b-r-k-l	berkel	tberkel
b-r-m-ċ	bermeċ	
b-r-q-m	barqam	
b-r-w-n	berwen	
b-r-w-ż	barważ	tbarważ
b-s-k-t	baskat	tbaskat
b-s-t-j	basta	
b-t-b-t¹	betbet	
b-t-b-t²	batbat	
b-x-b-x	bexbex	tbexbex
b-x-l-k	bexlek	
b-x-k-l¹	bixkel,	tbixkel
b-x-k-l¹	bexkel	
b-x-k-l²	bexkel	
b-x-r-q	*baxraq	tbaxraq
b-ż-w-r	bażwar	tbażwar
b-ż-b-ż¹/b-s-b-s	bażbaż,	tbażbaż
b-ż-b-ż¹/b-s-b-s	basbas	
b-ż-b-ż²	beżbeż	tbeżbeż
b-ż-l-ħ	beżlaħ	
b-ż-l-k	beżlek	tbeżlak
ċ-f-ċ-f	ċafċaf	ċċafċaf
ċ-f-ċ-q	ċefċaq	ċċefċaq
ċ-f-l-q	ċeflaq	ċċeflaq
ċ-f-l-s	ċaflas	ċċaflas
ċ-f-t-r	ċaftar	ċċaftar
ċ-j-p-r	ċajpar	ċċajpar
ċ-k-ċ-k	ċekċek	ċċekċek
ċ-m-b-s		ċċambas
ċ-m-ċ-m	ċamċam	
ċ-m-ċ-q	ċamċaq	
ċ-m-p-l	ċempel	
ċ-m-p-r	ċampar	
ċ-n-ċ-l	ċenċel	
ċ-n-f-r	ċanfar	ċċanfar
ċ-n-s-r	ċenser	
ċ-n-t-j	ċanta	ċċanta
ċ-n-t-r	ċantar	
ċ-p-ċ-p	ċapċap	
ċ-q-ċ-q	ċaqċaq	ċċaqċaq
ċ-q-l-m/ċ-k-l-m	ċaqlem,	ċċaqlem,
ċ-q-l-m/ċ-k-l-m	ċeklem	ċċeklem
ċ-q-l-ċ	ċaqlaq	ċċaqlaq
ċ-r-ċ-q	ċerċaq	
ċ-r-ċ-r¹	ċarċar,	ċċarċar
ċ-r-ċ-r¹	xarxar	
ċ-r-ċ-r²	ċerċer	ċċerċer
ċ-r-k-k	ċerkek	
ċ-r-k-s	ċerkes	
ċ-r-k-s	(kerkes)	
ċ-w-l-ħ	ċewlaħ	ċċewlaħ
d-għ-d-għ/d-ħ-d-ħ	dagħdagħ,	ddagħdagħ,
d-għ-d-għ/d-ħ-d-ħ	daħdaħ	ddaħdaħ
d-m-d-m	damdam	ddamdam
d-n-d-l	dendel	ddendel
d-n-d-n	dandan	ddandan
d-q-d-q	*daqdaq	ddaqdaq
d-r-d-r	dardar 	ddardar
d-r-w-x	derwex	dderwex
f-j-t-m	fajtem	
f-k-r-n	fekren	
f-l-f-l¹	felfel	tfelfel
f-l-f-l²	felfel	tfelfel
f-n-d-j¹	fenda	tfenda
f-n-d-j²	fonda	
f-n-d-j³	fonda	
f-n-d-q	fandaq	
f-n-f-r		tfanfar
f-n-ġ-j	finġa	
f-n-q-l		tfonqol
f-n-t-s	fantas	tfantas
f-r-ċ-ħ	ferċaħ	tferċaħ
f-r-f-r¹	farfar	tfarfar
f-r-f-r²	ferfer	tferfer
f-r-f-x	ferfex	tferfex
f-r-għ-n	fergħen	tfergħen
f-r-k-n	ferken	tferken
f-r-k-x	ferkex	tferkex
f-r-n-j	forna	tforna
f-r-n-q	fernaq	
f-r-n-ż	ferneż	tferneż
f-r-t-l	fertel	
f-r-t-n	fartan	*tfartan
f-r-t-s	fartas	tfartas
f-r-w-d		tfarwad
f-r-w-t		tfarwat
f-r-ż-n	ferżen	
f-s-d-q	fesdaq 	tfesdaq 
f-s-f-s	fesfes	tfesfes
f-s-q-j	fisqa	tfisqa
f-t-f-t	fetfet	
f-x-f-x	fexfex	
f-x-k-l	fixkel	tfixkel
ġ-g-ġ-g	ġagġag,	
ġ-g-ġ-g	ġegġeg	
ġ-ħ-ġ-ħ	ġaħġaħ 	
ġ-l-b-n	ġelben	ġġelben
ġ-m-ġ-m	ġemġem	ġġemġem
ġ-n-b-l	ġenbel	
ġ-n-d-r	ġandar	
ġ-n-ġ-j	ġonġa	ġġonġa
ġ-n-ġ-l	ġenġen,	ġġelġel
ġ-n-ġ-l	ġelġel	
ġ-r-b-n	ġerben	
ġ-r-d-m	ġardam	
ġ-r-d-m		għ
g-d-w-d	gedwed	
g-ġ-w-ġ	geġweġ	
g-l-b-l	gelbel	
g-l-g-l	gelgel	tgelgel
g-m-g-m	gemgem	
g-n-d-j	ginda	tginda
g-r-b-b	gerbeb	tgerbeb
g-r-b-ġ	gerbeġ	tgerbeġ
g-r-b-l	gerbel	
g-r-f-x	gerfex	tgerfex
g-r-w-l	gerwel	
g-r-g-r¹	gargar	
g-r-g-r²	gerger	tgerger
g-r-g-s	gerges	tgerges
g-r-g-x	gergex	tgergex
g-r-m-d	germed	tgermed
g-r-n-s	gernes	
g-r-w-l	gerwel	
g-r-w-x	gerwex	
g-r-ż-m	garżam	
g-s-g-s	gesges	
g-w-d-j	gawda,	tgawda
g-w-d-j	goda	
g-x-t-r		tgexter
g-ż-g-ż¹	gażgaż	
g-ż-g-ż²	geżegeż	
g-ż-w-r	geżwer	tgeżwer
għ-f-l-ġ	għafleġ	tgħafleġ
għ-f-l-s	għaflas	tgħaflas
għ-j-n-s	għajnas	tgħajnas
għ-k-r-k	għakrek	tgħakrek
għ-k-r-x	għakrex	
għ-n-ċ-ċ	għanċeċ	
