strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
s-b-b	*sabb	*sabbab							
s-b-ħ¹	sebaħ	sebbaħ		ssebbaħ				sbieħ	
s-b-ħ²								sbieħ	
s-b-k	sibek					nsibek			
s-b-l	sibel	sebbel		ssebbel					
s-b-m		sebben		ssebben					
s-b-q	sebaq	*sebbaq		ssebbaq		nsebaq			
s-b-r¹	sabar	sabbar		ssabbar			stabar		
s-b-r²	siber								
s-b-t	sabat	sabbat		ssabbat		nsabat,	stabat		
						nstabat			
s-d-d¹	sadd,					nsadd,	stadd		
	sedd					nstadd			
s-d-d²		saddad		ssaddad					
s-d-q		seddaq,		sseddaq					
		saddaq							
s-d-r		*sidder							
s-f-d		seffed		sseffed					
s-f-f¹		saffaf		ssaffaf					
s-f-f²	seff,	sefsef,				nseff,			
	żiff,	*seffef				nsaff			
	saff								
s-f-ħ	sefaħ	seffaħ			ssiefaħ	nsefaħ			
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
s-f-għ	safa',								
	safa								
s-f-l	*safal	saffel,		ssaffel,					
		saffal		ssaffal					
s-f-q	sefaq	seffaq		sseffaq				sfieq,	
								sfaq	
s-f-r¹		saffar	siefer						
s-f-r²		saffar						sfar	
s-f-r³		saffar		ssaffar					
s-ġ-r		saġġar		ssaġġar					
s-għ-b	sogħob								
s-għ-l	sogħol,		siegħel						
	sagħal,								
	segħel								
s-għ-n	sagħan,				ssiegħen				
	sogħon								
s-għ-q	sagħaq								
s-h-m			siehem						
s-h-r	sahar								
s-ħ-b¹		saħħab		ssaħħab					
s-ħ-b²		*saħħab	sieħeb		ssieħeb				
s-ħ-ħ¹	saħħ	saħħaħ		ssaħħaħ					
s-ħ-ħ²	seħħ,								
	saħħ								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
s-ħ-l	seħel								
s-ħ-m / ħ-m-j²		saħħam		ssaħħam			staħam		
s-ħ-n	saħan	saħħan		ssaħħan	ssaħan				
s-ħ-q	saħaq	saħħaq				nsaħaq			
s-ħ-r	*seħer,	saħħar		ssaħħar		nseħer			
	*siħer								
s-ħ-t	seħet,	seħħet			ssieħet	nseħet,	steħet		
	siħet					nsteħet			
s-k-k		sekkek							
s-k-m	sikem,	*sikkem		ssikkem		nsikem,			
	żeqem					nżeqem			
s-k-n		sekken							
s-k-r¹		sakkar		ssakkar					
s-k-r²	siker	sakkar			ssakar				
s-k-t	siket	sikket		ssikket					
s-l-b	salab	sallab		ssallab		nsalab,	stalab		
						nstalab			
s-l-f	silef	sellef		ssellef		nsilef,	stilef		
						nstilef			
