strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
t-b-b		tabbab							
t-b-għ	teba',	tabba',		ttabba',		ntabagħ,			
	tebagħ	tebba'		ttebba'		ntebagħ			
t-b-ħ	tebaħ					ntebaħ			
t-b-k	tibek	tebbak				ntibek			
t-b-l		tabbal,							
		tabbar							
t-b-n		tebben							
t-b-q	tebaq,	tebbaq		ttebbaq		ntebaq		tbieq	
	tabaq								
t-f-għ	tafa',				ttafa'	ntafa',			
	tefa'					ntefa'			
t-f-l¹		taffal		ttaffal					
t-f-l²		teffel,		tteffel,					
		taffal		ttaffal,					
				ttiffel					
t-għ-b			tiegħeb		ttiegħeb				
t-għ-l								tgħal	
t-għ-m	tagħem		tiegħem		ttiegħem	ntagħam			
t-għ-n	tagħan,								
	tgħan								
t-ħ-n	taħan	taħħan				ntaħan			
t-ħ-r	taħar,	taħħar							
	tahar								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
t-ħ-t		taħħat		ttaħħat					
t-k-k		tikkek,		ttekkek					
		tektek							
t-k-l			tiekel		ttiekel				
t-k-n		takkan							
t-l-b	talab	*tallab		ttallab		ntalab			
t-l-f	tilef	tellef		ttellef		ntilef			
t-l-għ	tela',	tella',		ttella',		ntela',			
	tala'	talla'		ttalla'		ntala'			
t-l-q	telaq	tellaq		ttellaq		ntelaq			
t-l-t		tellet		ttellet					
t-m-'		tamma,	tama		ttama				
		tamma'							
t-m-għ	tama',	tamma',		ttamma'					
	tema'	temma'							
t-m-m	temm	temmem		ttemm,					
				ttemmem					
t-m-r		tammar							
t-m-s		tammas,		ttammas					
		tammes							
t-n-s¹	tines								
t-n-s²	tanas								
t-p-n		tappan		ttappan					
t-p-p		tappap							
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
t-q-b	taqab	taqqab		ttaqqab		ntaqab			
	teqel,	taqqal,		ttaqqal				tqal	
	teqal,	teqqel							
	toqol								
t-r-b		tarrab							
t-r-d	tarad,	*tarrad				ntarad			
	tarat								
t-r-f		tarraf		ttarraf					
t-r-ġ¹	taraġ								
t-r-ġ²		tarraġ		ttarraġ					
t-r-ħ	teraħ	terraħ		tterraħ	ttieraħ	nteraħ			
t-r-q¹	teraq	terraq							
t-r-q²		terraq							
t-r-r	tarr					ntarr			
t-r-t		terret							
t-r-x¹	tarax								
t-r-x²		tarrax		ttarrax		ntarax			
t-r-ż		tarraż		ttarraż					
		tarras							
t-s-f					ttiefes,				
					ttiesef				
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
t-f-j¹	tefa,					ntefa			
	tafa								
t-f-j²		taffa		ttaffa					
t-f-j³				ttoffa					
t-j-b	tieb	tejjeb		ttejjeb				tjieb	
t-j-ġ		tejjeġ							
t-j-n		tajjan,		ttajjan					
		tajjen							
t-j-r	tar	tajjar		ttajjar	ttajar				
t-j-ż		tejjeż							
t-k-j					ttika				
t-k-w	itka,								
	*itteka								
t-l-j¹	tila,					ntila,			
	tela					ntela			
t-l-j²	tala								
t-m-j		tamma			ttama				
t-n-j	tena	tenna		ttenna		ntena			
t-r-j	tara,	tarra,		ttarra,					
	tira	terra		tterra					
t-t-j		tetta							
t-w-b¹		tewweb		ttewweb					
t-w-b²		tawwab,		ttawwab					
		tawweb							
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
t-w-j¹	tewa					ntewa			
t-w-j²	tewa,								
	tiwa								
t-w-l	tal	tawwal		ttawwal				twal	
t-w-m¹		tewwem							
t-w-m²		tewwem							
t-w-q¹	taq,								
	tieq								
t-w-q²		tewwak,		ttewwaq					
		tewwaq							
t-w-q³		tewwaq							
t-w-r		tawwar						twar	
t-w-s				ttawwas					
t-w-t¹		tawwat							
t-w-t²		tewwet							
