weak-inital		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
w-b-l		webbel,		twebbel,					
		wibbel		twibbel					
w-b-n		webben		twebben					
w-ċ-ċ		wiċċeċ		twiċċeċ					
w-d-b¹		widdeb		twiddeb					
w-d-b²		waddab,		twaddab		ntwaddab			
		waddaf							
w-d-n		widden,		twidden					
		wedden							
w-ġ-b		*wiġġeb	wieġeb		twieġeb	ntwieġeb			
w-ġ-għ	waġa',	waġġa',		twaġġa',					
	weġa'	weġġa'		tweġġa'					
w-ġ-ħ		weġġeħ,		tweġġaħ					
		weġġah							
w-għ-d	*wegħed		wiegħed		twiegħed				
w-għ-r			wiegħer		twiegħer				
w-ħ-d		waħħad		twaħħad					
w-ħ-l	weħel	waħħal		twaħħal					
w-ħ-m		waħħam		twaħħam					
w-ħ-r		waħħar		twaħħar					
w-ħ-x		waħħax		twaħħax					
w-l-d	wiled	welled	wieled	twelled	twieled				
w-m-n	emmen	wemmen		twemmen					
w-n-s		wennes		twennes					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
w-q-f	waqaf	waqqaf		twaqqaf					
w-q-għ	waqa'	waqqa'		twaqqa'					
w-q-t		waqqat		twaqqat					
w-r-b		warrab		twarrab					
w-r-ċ		werreċ		twerreċ					
w-r-d		warrad		twarrad					
w-r-k		werrek		twerrek					
w-r-q		werraq		twerraq					
w-r-t	wiret	werret		*twerret		ntiret			
w-r-x		werrex		twerrex					
w-s-għ	wasa',	wassa',		twassa',				usiegħ,	
	wesa'	wessa'		twessa'				wsiegħ	
w-s-l	wasal	wassal		twassal					
w-s-q		wessaq		twessaq					
w-s-t		wassat		twassat					
w-t-q		wettaq		twettaq					
w-ż-b	ważab								
w-ż-n	wiżen	*wiżżen	wieżen		twieżen	ntiżen			
									
									
									
									
									
									
weak-final		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
w-k-j		wikka,		twekka					
		wekka							
w-l-j¹		wella,		twella					
		willa							
w-l-j²	*wela								
w-s-j		wissa,		twessa					
		wessa							
w-t-j¹		witta	wieta	twitta					
w-t-j²	*weta		wata,						
			wieta						
w-ż-j	weża,					ntuża			
	uża								
