strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-b-b	*xebb	xebbeb		xxebbeb					
x-b-għ	xaba',	xabba',		xxabba',					
	xeba'	xebba'		xxebba'					
x-b-h	xebah,	xebbah,	xiebah	xxebbah,	xxiebah		xtedd		
	xebeh	xebbeh		xxebbeh					
x-b-k		xebbek		xxebbek					
x-b-n		xebben							
x-b-t		xabbat		xxabbat					
x-d-d¹	xedd	xedded							
x-d-d²	xedd	xedded				nxedd,	xtedd		
						nxtedd			
x-f-f		xeffef		xxeffef					
x-f-r		xaffar,							
		xeffer							
x-għ-b	xegħeb		xiegħeb,		xxiegħeb				
			xiegħab						
x-għ-f	xogħof		xiegħef						
x-għ-l¹	xegħel		xiegħel			nxegħel,	xtegħel		
						nxtegħel			
x-għ-l²			xiegħel		xxiegħel				
x-għ-r			xiegħer		xxiegħer			xgħar	
x-għ-t	*xagħat		xiegħet,		xxiegħet,				
			xiegħat		xxiegħat				
x-h-b			xieheb		xxieheb			xhieb	
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-h-d	xehed		xiehed			nxehed,	xtehed		
						nxtehed			
x-h-r	xeher		xieher		xxieher	nxeher	xteher		
x-ħ-ħ	xaħħ,	xaħħaħ		xxaħħaħ				xħaħ	
	xeħħ								
x-ħ-m		xaħħam		xxaħħam					
x-ħ-t¹	xaħat	xaħħat		xxaħħat					
x-ħ-t²	xeħet	*xeħħet				nxeħet,	xteħed		
						nxteħet			
x-k-k	xekk	xekkek		xxekkek		nxekk			
x-k-l		xekkel		xxekkel,					
				xxikkel					
x-l-f		xellef		ixxellef					
x-l-g		xelleg							
x-l-l	xell	xellel		ixxellel					
x-m-għ		xamma'		ixxamma'					
x-m-k	ximek								
x-m-m	xamm	xammem,		xxammam,		nxamm,			
		xemmem		xxammem		nxtamm			
x-m-q	xemaq								
x-m-r		xammar		xxammar					
x-m-x		xemmex		xxemmex					
x-n-għ	xina',	*xinna'							
	xana'								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-n-q¹	xenaq								
x-n-q²		xennaq		xxennaq					
x-p-p		xappap		xxappap					
x-q-f		xaqqaf							
x-q-q¹	xaqq	xaqqaq		xxaqqaq		nxaqq			
x-q-q²		xaqqaq							
x-q-r				xxaqqar				xqar	
x-r-b	xorob	xarrab		xxarrab		nxorob,	xtorob		
						nxtorob			
x-r-d		xerred		xxerred		nxered,	xtered		
						nxtered			
x-r-f¹	xiref	xerref		xxerref					
x-r-f²		xarraf						xraf	
x-r-ħ	xeraħ	xerraħ		xxerraħ		nxeraħ			
x-r-k¹	xirek	xerrek	xierek	xxerrek	xxierek				
x-r-k²		xarrak							
x-r-q¹	xeraq	xerraq		xxerraq					
x-r-q²	xeraq								
x-r-r¹						nxtarr	xtarr		
x-r-r²	*xarr					nxarr			
x-r-x		xarrax							
x-t-b		xattab		xxattab					
x-t-ħ				xxettaħ					
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-t-l		xettel,		xxettel,					
		xittel		xxittel					
x-t-r	*xatar	xattar		xxattar					
x-x-m		*xixxem		xxixxem					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-h-j	xeha					nxteha	xteha		
x-j-b	xieb	xejjeb							
x-j-f		xejjef							
x-j-ħ		xejjaħ,		xxejjaħ				xjieħ,	
		xejjeħ						xjaħ	
x-j-n		xejjen		xxejjen					
x-j-r		xejjer		xxejjer					
x-j-t		xejjet		xxejjet					
x-l-j¹	xela,					nxela			
	xila								
x-l-j²			*xala		xxala				
	xena								
x-r-j	xara,					nxara,	xtara		
	xera					nxtara			
x-t-w	xita	xitta							
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
x-w-f	xaf								
x-w-j	xewa					nxewa,	xtewa		
						nxtewa			
x-w-l	xal,	xawwel,		xxewwel	xxiewel				
	xiel	xewwel							
x-w-q	xaq,	xewwaq		xxewwaq		nxtaq	xtaq,		
	xieq						xtieq		
x-w-r		xawwar							
x-w-t		xawwat		xxawwat					
x-w-x¹		xewwex		xxewwex					
x-w-x²		*xewwex							
x-x-j		xoxxa							
