strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
z-k-k		*zakkak		zzakkak					
z-k-r				zzakkar					
z-p-n		zappan							
z-p-p		zappap,		zzappap					
		zapzap							
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
z-j-k	ziek,					nziek			
	ċiek								
z-j-z		zejjez							
z-k-j¹		zikka							
z-k-j²					zzika				
z-w-q		zewwaq							
