strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ċ-ċ-r		ċaċċar		ċċaċċar,					
				ċċaċċra					
ċ-għ-k			ċiegħek,		ċċiegħek				
			ċagħaq						
ċ-ħ-d	ċaħad	ċaħħad		ċċaħħad		nċaħad			
ċ-k-n		ċekken		ċċekken				ċkien	
ċ-k-r		ċakkar							
ċ-l-m		ċallam							
ċ-l-q		ċellaq		ċċellaq					
ċ-l-s		ċallas		ċċallas					
ċ-p-n		ċeppen							
ċ-p-p		*ċappap							
ċ-p-r								ċpar	
ċ-p-s		ċappas		ċċappas					
ċ-q-m		ċaqqam		ċċaqqam					
ċ-r-k		ċerrek							
ċ-r-t		ċarrat		ċċarrat					
ċ-t-r		ċattar							
									
									
									
									
									
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ċ-ċ-j		ċiċċa							
ċ-d-j		ċeda,							
		ċieda							
ċ-f-j	ċefa								
ċ-j-ċ	ċieċ								
ċ-j-k	ċiek								
ċ-j-m		ċejjem							
ċ-j-q		ċejjaq							
ċ-m-j			ċama						
ċ-r-j			ċara						
ċ-w-ċ		ċewweċ		ċċewweċ					
ċ-w-l		ċawwal							
ċ-w-r		*ċewwer							
