strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ġ-b-d	ġibed	ġebbed		ġġebbed		nġibed			
ġ-b-l		ġebbel		ġġebbel					
ġ-b-r	ġabar	ġabbar		ġġabbar		nġabar			
ġ-b-s		ġebbes		ġġebbes					
ġ-d-d		ġedded		ġġedded					
ġ-d-m		ġiddem		ġġiddem					
ġ-d-r				ġġaddar,					
				ġġidder					
ġ-għ-d	ġagħad		ġiegħed		ġġiegħed	nġagħad			
ġ-għ-l	ġagħal		ġiegħel		ġġiegħel	nġagħal			
ġ-h-r			ġahar						
ġ-h-ż			ġieheż		ġġieheż				
ġ-l-b	ġileb,								
	ġlejjeb								
ġ-l-d¹		ġelled	ġieled		ġġieled				
ġ-l-d²		ġelled		ġġelled					
ġ-m-d	ġimed	ġemmed		ġġemmed					
ġ-m-għ	ġama',	ġamma',		ġġamma',		nġama',			
	ġema'	ġemma'		ġġemma'		nġema'			
ġ-m-l		ġemmel		ġġemmel					
ġ-m-r		ġammar		ġġammar					
ġ-n-b		ġenneb	ġieneb	ġġenneb	ġġieneb				
ġ-n-n		ġennen		ġġennen					
ġ-n-t		ġannat		ġġannat					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ġ-r-b	*ġarab	ġarrab		ġġarrab					
ġ-r-d	ġarad	*ġarrad				nġarad			
ġ-r-f	*ġaraf	ġarraf		ġġarraf					
ġ-r-għ	*ġeragħ	ġerragħ		ġġerragħ					
ġ-r-ħ	ġeraħ	ġerraħ		ġġerraħ		nġeraħ			
ġ-r-r	ġarr	*ġarrar				nġarr	iġtar,		
							xtarr		
ġ-s-m		ġissem		ġġissem					
ġ-s-s	*ġess	ġesses							
ġ-ż-ż	ġeżż	ġeżżeż				nġeżż			
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ġ-j-' / ġ-j-j	ġie								
ġ-j-b	ġab,					nġab,			
	ġieb					nġieb			
ġ-j-f / ġ-w-f		ġejjef,		ġġejjef,					
		ġewwef		ġġewwef					
ġ-l-w	ġela,					nġela,			
	ġila					nġila			
ġ-r-j¹	ġara								
ġ-r-j²	ġera	ġerra		ġġerra	ġġiera	nġera			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ġ-v-j			ġova						
ġ-w-ħ	ġaħ,	ġewwaħ		ġġewwaħ					
	ġieħ								
ġ-w-ż		ġewweż		ġġewweż					
ġ-ż-j	ġeża					nġeża			
