strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ħ-b-b¹	ħabb	ħabbeb		tħabbeb		nħabb	ħtebb		
ħ-b-b²	ħebb,								
	hebb								
ħ-b-l¹		ħabbel		tħabbel,					
				tħambel					
ħ-b-l²	ħebel,	ħebbel		*tħebbel					
	hebel								
ħ-b-l³	ħobol	ħabbel		tħabbel					
ħ-b-r¹	ħabar,	ħabbar		tħabbar					
	ħeber								
ħ-b-r²	ħeber,								
	ħabar								
ħ-b-s	ħabes	*ħabbes		tħabbes		nħabes			
ħ-b-t	ħabat	ħabbat		tħabbat	tħabat		ħtabat		
ħ-b-ż¹	ħabeż	ħabbeż		tħabbeż		nħabeż			
ħ-b-ż²	ħebeż,	ħebbeż,		*tħabbeż					
	hebeż	ħabbeż							
ħ-d-t		ħaddet,							
		ħadded							
ħ-d-l	ħedel	ħeddel,		tħeddel,				ħdiel	
		ħaddel		tħaddel					
ħ-d-m	ħadem	ħaddem		tħaddem		nħadem			
ħ-d-n		ħaddan		tħaddan					
ħ-d-r¹		ħaddar		tħaddar				ħdar	
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ħ-d-r²	ħadar	ħaddar		tħaddar					
ħ-d-t		ħadded		tħaddet,					
				tħadded					
ħ-f-f	ħaff,	ħaffef		tħaffef,				ħfief	
	ħeff			tħeffef					
ħ-f-n	ħafen					nħafen			
ħ-f-r¹	ħafer					nħafer			
ħ-f-r²	ħafer	ħaffer		tħaffer					
ħ-ġ-b	ħaġeb	*ħaġġeb		*tħaġġeb		nħaġeb			
ħ-ġ-ġ¹	*ħaġġ							*ħġaġ	
ħ-ġ-ġ²		ħaġġeġ							
ħ-ġ-ġ³		ħeġġeġ,		tħeġġeġ,					
		ħaġġeġ		tħaġġeġ					
ħ-ġ-m	heġem,					nheġem			
	ħeġem,								
	ħaġem,								
	haġem								
ħ-ġ-r		ħaġġar		tħaġġar					
ħ-k-k	ħakk	ħakkek,		tħakkek,		nħakk	ħtekk		
		ħakwek		tħakwek					
ħ-k-m	ħakem	ħakkem				nħakem			
ħ-l-b	ħaleb	ħalleb		tħalleb		nħaleb			
ħ-l-f¹	ħalef	ħallef				nħalef			
									
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ħ-l-f²		ħellef,		tħellef					
		ħallef							
ħ-l-ġ	ħaleġ	*ħalleġ				nħaleġ	ħtileġ		
ħ-l-l¹	ħall					nħall			
ħ-l-l²		ħallel		tħallel					
ħ-l-l³		ħallel		*tħallel					
	ħolom	ħallem		tħallem		nħolom			
ħ-l-q¹	ħalaq	ħallaq				nħalaq,			
						nħoloq			
