strong		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ż-b-b¹		żabbab							
ż-b-b²				żżebbeb					
ż-b-d		żebbed							
ż-b-ġ¹				żżebbeġ					
ż-b-ġ²		żebbeġ		żżebbeġ					
ż-b-għ	żaba',	żebbagħ				nżaba',	stebagħ		
	żeba',					nżeba',	żteba'		
	żebagħ					nżebagħ			
ż-b-l		żebbel		żżebbel					
ż-b-r	żabar	*żabbar				nżabar			
ż-d-d	żadd								
ż-d-m	*żadam	żaddam		żżaddam					
ż-d-n	żiden,								
	żodon								
ż-f-n	żifen	żeffen		żżeffen		nżifen			
ż-f-t		żeffet,		żżeffet					
		żiffet							
ż-ġ-ġ	żeġġ	żeġġeġ		żżeġġeġ					
ż-g-g		żeggeg							
ż-għ-b					żżiegħeb				
ż-għ-d	żegħed,		żiegħed		żżiegħed	nżegħed			
	żogħod								
ż-għ-l	żegħel,		żiegħel,		żżiegħel				
	żehel		żiehel						
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ż-għ-r		*żagħgħar						żgħar,	
								sgħar	
ż-h-m	żehem								
ż-h-r¹	żeher								
ż-h-r²	żahar	*żahhar							
ż-k-m		żikkem							
ż-k-r		żakkar		żżakkar					
ż-l-ġ	żileġ	żelleġ		żżelleġ					
ż-l-m	żilem	żellem		żżellem					
ż-l-q	żelaq	żellaq		żżellaq	żżielaq				
ż-m-l		żemmel		żżemmel	żżiemel				
ż-m-m	żamm	żammam,				nżamm			
		żammem							
ż-m-r		żammar							
ż-n-d		żenned							
ż-n-k	*żanak				żżanak,				
					żżanika				
ż-n-n		żennen							
ż-n-q				żżennaq					
ż-q-q¹	żaqq	żaqqaq		żżaqqaq				żqaq	
ż-q-q²	żaqq	żaqqaq				nżaqq			
ż-r-b	żarab,	*żarrab							
	żorob								
ż-r-d	żarad	żarrad		żżarrad		nżarad			
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ż-r-għ	żara',	żarra',				nżara',			
	żera'	żerra'				nżera'			
ż-r-k	żirek	*żerrek							
ż-r-q	*żeraq	*żerraq						żrieq	
ż-t-t		żattat		żżattat					
									
weak		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
ż-j-d	żied					nżied	żdied		
ż-j-f	żief				żżief	nżief			
ż-j-n¹		żejjen		żżejjen					
ż-j-n²	żien								
ż-j-t		żejjet							
ż-j-ż		żejjeż							
ż-n-j	żena	*żenna							
ż-w-f	żaf								
ż-w-ġ		żewweġ		żżewweġ					
ż-w-l	żal	żawwal,		żżawwal					
		żewwel							
ż-w-q		żewwaq		żżewwaq					
ż-w-r	żar	żajjar				nżar			
